Sample,Sum formula,O count,DBE,Cnd_ 9,Cnd_2,Cnd_ 4,Cnd_ 5,Cnd_ 3,Cnd_ 4**,Cnd_ 5**,Cnd_ 6,Cnd_ 8,Cnd_ 7,Feed
neg_531_357.1875,C25H26O2,2,13,1025,742,1287,1103,906,1339,1031,186,1061,1033,385
neg_532_359.16452,C24H24O3,3,13,134,665,213,74,390,290,138,82,124,125,784
neg_533_359.16519,C24H24O3,3,13,443,991,497,139,862,382,391,83,180,255,546
neg_534_367.18872,C21H30O4,4,7,463,385,564,571,500,483,587,641,472,512,386
neg_537_373.21777,C24H32O2,2,9,90,133,69,45,126,54,118,63,103,104,669
Diol-1arRings (catechols)_137.06017,C8H10O2,2,4,7887,9321,9665,8542,8904,8582,8924,8430,8765,8157,8144
Diol or catechol_137.06046,C8H10O2,2,4,13310,15948,15089,14452,14808,14526,14361,11912,14240,14331,15151
Cyclic ketones (cyclohexenones)_139.07564,C8H12O2,2,3,14717,10114,17166,10218,13941,14405,13266,2064,13526,10791,355
"Aliphatic alcohol, hydroxy acid or lactones_141.0545",C7H10O3,3,3,609,403,418,168,493,513,373,53,339,261,85
2-Hydroxynaphthalene_143.04924,C10H8O,1,7,7678,7933,8328,6247,8638,7683,8941,4116,8024,7398,5766
Hydroxy cinnamaldehydes_147.04427,C9H8O2,2,6,5223,10799,5852,1269,8784,6673,2960,91,2442,1862,10131
Hydroxy cinnamaldehydes_147.04434,C9H8O2,2,6,32179,49411,36626,13177,45641,37667,21669,1201,20545,16122,46841
neg_81_149.02461,C8H6O3,3,6,328,430,533,300,520,462,309,163,431,468,382
neg_85_149.05969,C9H10O2,2,5,1222,3251,1220,275,2163,1396,627,35,532,255,2349
2-Methoxy-4-vinylphenol_149.06003,C9H10O2,2,5,9765,17908,12317,2903,15420,11433,6252,241,5634,3858,15592
p-Coumaryl alcohol_149.06104,C9H10O2,2,5,575,621,638,607,617,695,573,496,646,499,2142
neg_9_107.04859,C5H10O,1,1,250,512,197,76,373,333,136,91,259,72,562
Vanillin derivatives_151.03908,C8H8O3,3,5,2412,4193,2100,540,3465,2635,1472,133,1355,1115,4095
Vanillin_151.03922,C8H8O3,3,5,119,849,150,140,199,121,197,191,49,177,1897
Diol-1arRings (catechols)_151.0753,C9H12O2,2,4,7845,8845,9454,8256,9049,7787,8842,8074,8367,8326,6788
Amine or pyrrolidines?_208.16817,C13H21NO,1,4,338,50,704,3592,148,215,1268,7350,2004,2517,77
Stilbenes or 3Ar Rings_209.0947,C15H12O,1,10,347,403,317,340,389,335,197,160,257,269,3466
pos_1010_209.0959,C15H12O,1,10,365,575,333,401,325,386,336,273,466,395,2223
Sesquiterpenoids_209.1523,C13H20O2,2,4,2248,145,2522,6604,404,1704,5694,4607,6284,7784,76
pos_1017_211.07359,C10H10O2,2,6,675,1313,511,478,863,731,450,427,517,459,1898
pos_1018_211.07541,C12H12O2,2,7,2052,2549,2407,2343,2500,1942,1880,1854,2072,2358,1982
pos_1033_213.08868,C12H14O2,2,6,1284,2092,1324,820,1852,1679,1124,831,1384,1135,3244
Sesquiterpenoids/ Diterpenoids_213.12538,C15H16O,1,8,1748,2748,1656,675,2230,1913,1358,372,1125,799,987
Aldehyde/ketone_103.05312,C8H8O,1,5,221,649,41,34,257,267,52,15,27,55,971
Coumarin derivatives_217.12099,C14H16O2,2,7,4481,7866,4022,1456,7365,5736,2308,835,2794,1705,1920
1arRing aldehydes or ketones_217.15717,C15H20O,1,6,1254,2018,2255,1552,1794,1699,1177,730,1416,1422,2804
pos_1059_217.15996,C15H20O,1,6,624,1615,690,428,923,713,662,394,673,580,1928
Aliphatic amines_218.21019,C12H27NO2,2,0,15645,27376,18038,17417,21578,23642,22673,21489,16510,27445,22889
Coumarans or acetophenones (2ar Rings)_219.10028,C13H14O3,3,7,2832,3828,1427,584,3032,2982,1990,581,2020,1608,2347
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_219.1006",C13H14O3,3,7,1458,2898,2641,1998,2720,3110,2816,1858,2996,3096,2991
