Sample,Sum formula,O count,DBE,Cnd_ 9,Cnd_2,Cnd_ 4,Cnd_ 5,Cnd_ 3,Cnd_ 4**,Cnd_ 5**,Cnd_ 6,Cnd_ 8,Cnd_ 7,Feed
"2,2-dimethyl-1-benzopyrans and ketones_203.10503",C13H14O2,2,7,999,1035,998,981,908,742,823,708,797,937,8174
Diol-1arRings_203.10513,C11H16O2,2,4,2560,3689,2723,1350,3652,2858,1858,712,1797,1621,3805
pos_962_203.10529,C12H10O,1,8,1753,3070,1586,876,2566,2117,1283,1047,1185,896,3072
pos_966_203.14029,C9H18N2O3,3,2,410,144,448,897,172,292,675,1956,871,870,90
Coumarans or acetophenones (2ar Rings)_205.0843,C12H12O3,3,7,4953,5941,5246,3755,6077,6129,4995,2334,5749,5030,6291
pos_980_205.08554,C12H12O3,3,7,2142,2787,2493,2242,3250,2719,2179,2298,2713,2963,3257
pos_983_205.12119,C10H8O,1,7,2616,1815,3963,2284,2418,2800,2665,1295,3288,2342,850
pos_985_205.12585,C13H16O2,2,6,1711,1882,2116,1187,2269,2256,1391,649,1597,1420,787
pos_996_207.11363,C10H10N2O,1,7,1051,2023,1207,332,1710,1065,504,257,728,546,2265
pos_997_207.13586,C13H18O2,2,5,590,273,1288,1670,460,751,954,806,1041,1234,126
pos_999_207.13695,C13H18O2,2,5,2173,1191,2894,2101,1384,2252,2393,357,2864,2454,241
